sigma_ann,T_days,band,prob_move_outside_band
0.4,1,0.01,0.6346073601403119
0.4,1,0.02,0.3442395568789349
0.4,1,0.05,0.019788349610830203
0.4,7,0.01,0.8574443265565177
0.4,7,0.02,0.7207272681406662
0.4,7,0.05,0.3784344300814282
0.4,30,0.01,0.9308553287492309
0.4,30,0.02,0.8629009064193378
0.4,30,0.05,0.6705018339674984
0.7,1,0.01,0.7859506874609905
0.7,1,0.02,0.5888732763019009
0.7,1,0.05,0.18298472422497025
0.7,7,0.01,0.9182448964377936
0.7,7,0.02,0.8381360445554098
0.7,7,0.05,0.614749520222762
0.7,30,0.01,0.9604553776074136
0.7,30,0.02,0.9213956978531848
0.7,30,0.05,0.8079127169390794
1.0,1,0.01,0.8492301400471209
1.0,1,0.02,0.7051864548448039
1.0,1,0.05,0.35126687700330916
1.0,7,0.01,0.9427202068283993
1.0,7,0.02,0.8862942928535213
1.0,7,0.05,0.7246029173987472
1.0,30,0.01,0.9723129807780635
1.0,30,0.02,0.9449314746135502
1.0,30,0.05,0.8648656324015547
